My Game Rankings,Video Game Name,IGN Rating,Metacritic Rating,IGN URL,Metacritic URL
1,The Legend of Zelda: A Link To The Past,9.5,95,https://www.ign.com/games/the-legend-of-zelda-a-link-to-the-past,https://www.metacritic.com/game/the-legend-of-zelda-a-link-to-the-past
2,Final Fantasy IX,9.2,94,https://www.ign.com/games/final-fantasy-ix,https://www.metacritic.com/game/final-fantasy-ix
3,Final Fantasy X,9.5,92,https://www.ign.com/games/final-fantasy-x,https://www.metacritic.com/game/final-fantasy-x
4,Slay the Spire,9,89,https://www.ign.com/games/slay-the-spire,https://www.metacritic.com/game/slay-the-spire
5,Warcraft III: The Frozen Throne,9,88,https://www.ign.com/games/warcraft-iii-the-frozen-throne,https://www.metacritic.com/game/warcraft-iii-the-frozen-throne
6,World of Warcraft,9.1,93,https://www.ign.com/games/world-of-warcraft,https://www.metacritic.com/game/world-of-warcraft
7,Elden Ring,10,96,https://www.ign.com/games/elden-ring,https://www.metacritic.com/game/elden-ring
8,Clair Obscur: Expedition 33,9,92,https://www.ign.com/games/clair-obscur-expedition-33,https://www.metacritic.com/game/clair-obscur-expedition-33
9,Baldur's Gate 3,Does not exist,96,https://www.ign.com/games/baldurs-gate-3,https://www.metacritic.com/game/baldurs-gate-3
10,Fire Emblem: Three Houses,9.5,89,https://www.ign.com/games/fire-emblem-three-houses,https://www.metacritic.com/game/fire-emblem-three-houses
11,Terraria,9,81,https://www.ign.com/games/terraria,https://www.metacritic.com/game/terraria
12,Super Mario RPG: Legend of the Seven Stars,9.5,Does not exist,https://www.ign.com/games/super-mario-rpg-legend-of-the-seven-stars,https://www.metacritic.com/game/super-mario-rpg-legend-of-the-seven-stars
13,The Legend of Zelda: Ocarina of Time,10,99,https://www.ign.com/games/the-legend-of-zelda-ocarina-of-time,https://www.metacritic.com/game/the-legend-of-zelda-ocarina-of-time
14,The Legend of Zelda: Twilight Princess,9.5,95,https://www.ign.com/games/the-legend-of-zelda-twilight-princess,https://www.metacritic.com/game/the-legend-of-zelda-twilight-princess
15,Final Fantasy VII Rebirth,9,92,https://www.ign.com/games/final-fantasy-vii-rebirth,https://www.metacritic.com/game/final-fantasy-vii-rebirth
16,Final Fantasy VII,9.5,92,https://www.ign.com/games/final-fantasy-vii,https://www.metacritic.com/game/final-fantasy-vii
17,God of War,10,94,https://www.ign.com/games/god-of-war,https://www.metacritic.com/game/god-of-war
18,Sekiro: Shadows Die Twice,9.5,90,https://www.ign.com/games/sekiro-shadows-die-twice,https://www.metacritic.com/game/sekiro-shadows-die-twice
19,Super Smash Bros. Melee,9.6,92,https://www.ign.com/games/super-smash-bros-melee,https://www.metacritic.com/game/super-smash-bros-melee
20,Dark Souls III,9.5,89,https://www.ign.com/games/dark-souls-iii,https://www.metacritic.com/game/dark-souls-iii
21,Super Mario 64,9.8,85,https://www.ign.com/games/super-mario-64,https://www.metacritic.com/game/super-mario-64
22,Grim Dawn,8.7,83,https://www.ign.com/games/grim-dawn,https://www.metacritic.com/game/grim-dawn
23,Final Fantasy VII Remake,8,87,https://www.ign.com/games/final-fantasy-vii-remake,https://www.metacritic.com/game/final-fantasy-vii-remake
24,Pokemon Crystal Version,9,Does not exist,https://www.ign.com/games/pokemon-crystal-version,https://www.metacritic.com/game/pokemon-crystal-version
